company_id,company_name,roce_percentage,roe_percentage,latest_financial_year,latest_sales,latest_operating_profit,latest_net_profit,latest_eps,operating_margin_percentage,net_profit_margin_percentage,latest_reserves,latest_borrowings,latest_total_liabilities,latest_total_assets,debt_to_asset_ratio,latest_operating_cash_flow,latest_net_cash_flow,compounded_sales_growth,compounded_profit_growth,stock_price_cagr,roe,sales_growth_score,profit_growth_score,stock_cagr_score,roe_score,roce_score,profit_margin_score,cash_flow_score,debt_score,financial_health_score,financial_rating,company_rank
SUNPHARMA,Sun Pharmaceuticals Industries Ltd,17.3,16.7,,50308,14059.0,11117,46.0,27.94585354218017,22.09787707720442,68875.0,2572.0,88116.0,88116.0,0.029188796586318035,12135.0,4662.0,,,,,,,,50.55555555555556,53.84615384615385,79.34782608695652,67.03296703296702,74.72527472527473,65.1,STRONG,17
LTIM,LTIMindtree Ltd,34.1,26.04,,37129,6434.0,4574,154.0,17.32877265749145,12.319211398098522,21045.0,2326.0,28761.0,28761.0,0.08087340495810298,5670.0,-518.0,,,,,,,,81.11111111111111,85.71428571428571,45.65217391304348,49.45054945054945,62.08791208791209,64.8,GOOD,18
PIDILITIND,Pidilite Industries Ltd,29.7,22.8,,12901,2952.0,1973,38.0,22.88194713588094,15.29338810944888,8664.0,379.0,12755.0,12755.0,0.029713837710701685,2724.0,212.0,,,,,,,,75.55555555555556,80.21978021978022,56.52173913043478,37.362637362637365,73.62637362637362,64.66,GOOD,19
BEL,Bharat Electronics Ltd,34.6,26.3,,21575,5708.0,4541,6.0,26.45654692931634,21.047508690614137,80.0,78.0,225.0,225.0,0.3466666666666667,4659.0,-2739.0,,,,,,,,82.22222222222221,86.81318681318682,73.91304347826086,46.15384615384615,34.06593406593407,64.63,GOOD,20
MARUTI,Maruti Suzuki India Ltd,23.67,15.75,,145213,19766.0,14021,446.0,13.611728977433149,9.655471617554902,88969.0,158.0,121696.0,121696.0,0.0012983171180646859,16801.0,874.0,,,,,,,,46.666666666666664,68.13186813186813,35.869565217391305,75.82417582417582,91.20879120879121,63.54,GOOD,21
DRREDDY,Dr Reddys Laboratories Ltd,26.5,21.4,,31229,8311.0,5448,64.0,26.61308399244292,17.44532325722886,30666.0,4854.0,46728.0,46728.0,0.10387776065742167,4543.0,133.0,,,,,,,,71.11111111111111,74.72527472527473,67.3913043478261,45.05494505494506,58.24175824175824,63.3,GOOD,22
BPCL,Bharat Petroleum Corporation Ltd,32.1,41.9,,445601,26554.0,13734,32.0,5.9591428205951065,3.082129528434631,72835.0,58880.0,211226.0,211226.0,0.27875356253491523,35936.0,-12.0,,,,,,,,93.33333333333333,82.41758241758241,10.869565217391305,90.10989010989012,39.56043956043956,63.26,GOOD,23
POWERGRID,Power Grid Corporation of India Ltd,13.2,19.0,,45812,39235.0,15712,17.0,85.64349951977648,34.296690823365054,82760.0,122568.0,255297.0,255297.0,0.4800996486445199,37290.0,-1728.0,,,,,,,,63.33333333333333,43.956043956043956,94.56521739130434,91.20879120879121,21.97802197802197,63.01,GOOD,24
TATAMOTORS,Tata Motors Ltd,20.1,49.4,,440061,60497.0,33816,99.0,13.747412290568809,7.684389209677748,100326.0,106549.0,390656.0,390656.0,0.27274379505242463,67915.0,8128.0,,,,,,,,94.44444444444444,57.14285714285714,28.26086956521739,94.5054945054945,40.65934065934066,63.0,GOOD,25
HEROMOTOCO,Hero MotoCorp Ltd,29.1,22.0,,40098,34537.0,4133,207.0,86.13147787919597,10.307247244251585,18971.0,588.0,29261.0,29261.0,0.020095007005912307,4923.0,379.0,,,,,,,,72.22222222222221,78.02197802197803,38.04347826086957,47.25274725274725,78.02197802197801,62.71,GOOD,26
BRITANNIA,Britannia Industries Ltd,48.9,57.1,,17244,3136.0,2129,89.0,18.186035722570168,12.346323358849455,3186.0,2754.0,9467.0,9467.0,0.29090524981514737,2573.0,219.0,,,,,,,,97.22222222222221,93.4065934065934,46.73913043478261,36.26373626373626,38.46153846153846,62.42,GOOD,27
CIPLA,Cipla Ltd,22.8,16.8,,26981,20075.0,4987,62.0,74.40421037026054,18.48337719135688,28201.0,461.0,34655.0,34655.0,0.013302553744048477,4134.0,-49.0,,,,,,,,52.22222222222223,65.93406593406593,69.56521739130434,42.857142857142854,81.31868131868131,62.38,GOOD,28
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,13.1,14.8,,1733,1554.0,7486,666.0,89.67109059434507,431.9676860934795,59712.0,47.0,72533.0,72533.0,0.0006479809190299587,1941.0,14.0,,,,,,,,42.22222222222222,41.208791208791204,100.0,28.57142857142857,92.3076923076923,60.86,GOOD,29
TORNTPHARM,Torrent Pharmaceuticals Ltd,23.2,24.2,,11302,3640.0,1862,55.0,32.20668908157848,16.474960184038224,7335.0,3128.0,15088.0,15088.0,0.2073170731707317,3266.0,327.0,,,,,,,,78.33333333333333,67.03296703296702,59.78260869565217,39.56043956043956,49.45054945054945,58.83,GOOD,30
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,12.9,18.1,,28443,17165.0,9743,45.0,60.348767710860315,34.25447386000071,56744.0,50485.0,126015.0,126015.0,0.4006269094949014,15018.0,450.0,,,,,,,,60.0,39.56043956043956,93.47826086956522,71.42857142857143,28.57142857142857,58.61,GOOD,31
SIEMENS,Siemens Ltd,25.6,19.1,,22240,3104.0,2718,76.0,13.956834532374101,12.221223021582734,15286.0,279.0,25299.0,25299.0,0.011028103877623622,1670.0,644.0,,,,,,,,64.44444444444444,72.52747252747253,44.565217391304344,24.175824175824175,83.51648351648352,57.85,GOOD,32
ICICIGI,ICICI Lombard General Insurance Company Ltd,22.5,17.0,,23301,19938.0,2518,51.0,85.5671430410712,10.806403158662718,13130.0,0.0,68014.0,68014.0,0.0,2407.0,131.0,,,,,,,,53.333333333333336,63.73626373626373,39.130434782608695,32.967032967032964,97.25274725274726,57.28,GOOD,33
